source_path,category_slug,folder_name,folder_slug,sequence,storage_path,public_url,width,height,bytes_before,bytes_after,sha1,uploaded_at
"/Users/sherazkhalid/Documents/Apps/savzix-store/data/product images/beauty-skincare/BOURJOIS 1005-11178 Healthy Mix Hair Colord Beautifier 006 for Adults, Built for Healthy-Looking Hair Care and Styling/01.webp","beauty-skincare","BOURJOIS 1005-11178 Healthy Mix Hair Colord Beautifier 006 for Adults, Built for Healthy-Looking Hair Care and Styling","bourjois-1005-11178-healthy-mix-hair-colord-beautifier-006-for-adults-built-for-healthy-looking-hair-care-and-styling","01","products/beauty-skincare/bourjois-1005-11178-healthy-mix-hair-colord-beautifier-006-for-adults-built-for-healthy-looking-hair-care-and-styling/bourjois-1005-11178-healthy-mix-hair-colord-beautifier-006-for-adults-built-for-healthy-looking-hair-care-and-styling-01.webp","https://vhoukfbnkgowhvxskkfi.supabase.co/storage/v1/object/public/product-images/products/beauty-skincare/bourjois-1005-11178-healthy-mix-hair-colord-beautifier-006-for-adults-built-for-healthy-looking-hair-care-and-styling/bourjois-1005-11178-healthy-mix-hair-colord-beautifier-006-for-adults-built-for-healthy-looking-hair-care-and-styling-01.webp","1200","1200","79858","31594","3f5bff80ff972e726b5fa47fc4db31c92b5ea019","2026-09-26T17:26:48.621Z"
"/Users/sherazkhalid/Documents/Apps/savzix-store/data/product images/beauty-skincare/BOURJOIS 29135408001 Beauty Care Velvet Ink Lip Tono 1 for Adults, Designed for Daily Beauty and Care/01.webp","beauty-skincare","BOURJOIS 29135408001 Beauty Care Velvet Ink Lip Tono 1 for Adults, Designed for Daily Beauty and Care","bourjois-29135408001-beauty-care-velvet-ink-lip-tono-1-for-adults-designed-for-daily-beauty-and-care","01","products/beauty-skincare/bourjois-29135408001-beauty-care-velvet-ink-lip-tono-1-for-adults-designed-for-daily-beauty-and-care/bourjois-29135408001-beauty-care-velvet-ink-lip-tono-1-for-adults-designed-for-daily-beauty-and-care-01.webp","https://vhoukfbnkgowhvxskkfi.supabase.co/storage/v1/object/public/product-images/products/beauty-skincare/bourjois-29135408001-beauty-care-velvet-ink-lip-tono-1-for-adults-designed-for-daily-beauty-and-care/bourjois-29135408001-beauty-care-velvet-ink-lip-tono-1-for-adults-designed-for-daily-beauty-and-care-01.webp","1000","1000","14196","14818","f97231588cd4230ab04a97ec242c37f89ea271b1","2026-09-26T17:26:48.734Z"
"/Users/sherazkhalid/Documents/Apps/savzix-store/data/product images/beauty-skincare/BOURJOIS 29135408018 Beauty Care Velvet Ink Lip Tono 18 for Adults, Designed for Daily Beauty and Care/01.webp","beauty-skincare","BOURJOIS 29135408018 Beauty Care Velvet Ink Lip Tono 18 for Adults, Designed for Daily Beauty and Care","bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care","01","products/beauty-skincare/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care-01.webp","https://vhoukfbnkgowhvxskkfi.supabase.co/storage/v1/object/public/product-images/products/beauty-skincare/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care-01.webp","1200","1200","125284","33622","5e85a7cce436b8c921a10ff7ceb5bb5c625084ab","2026-09-26T17:26:48.620Z"
"/Users/sherazkhalid/Documents/Apps/savzix-store/data/product images/beauty-skincare/BOURJOIS 29135408018 Beauty Care Velvet Ink Lip Tono 18 for Adults, Designed for Daily Beauty and Care/02.webp","beauty-skincare","BOURJOIS 29135408018 Beauty Care Velvet Ink Lip Tono 18 for Adults, Designed for Daily Beauty and Care","bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care","02","products/beauty-skincare/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care-02.webp","https://vhoukfbnkgowhvxskkfi.supabase.co/storage/v1/object/public/product-images/products/beauty-skincare/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care-02.webp","1200","1200","125284","33622","5e85a7cce436b8c921a10ff7ceb5bb5c625084ab","2026-09-26T17:26:48.622Z"
"/Users/sherazkhalid/Documents/Apps/savzix-store/data/product images/beauty-skincare/BOURJOIS 29135408018 Beauty Care Velvet Ink Lip Tono 18 for Adults, Designed for Daily Beauty and Care/03.webp","beauty-skincare","BOURJOIS 29135408018 Beauty Care Velvet Ink Lip Tono 18 for Adults, Designed for Daily Beauty and Care","bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care","03","products/beauty-skincare/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care-03.webp","https://vhoukfbnkgowhvxskkfi.supabase.co/storage/v1/object/public/product-images/products/beauty-skincare/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care-03.webp","886","1200","59896","30456","7901a1d366951f276b24c32dc5290188752c0381","2026-09-26T17:26:48.622Z"
"/Users/sherazkhalid/Documents/Apps/savzix-store/data/product images/beauty-skincare/BOURJOIS 29135408018 Beauty Care Velvet Ink Lip Tono 18 for Adults, Designed for Daily Beauty and Care/04.webp","beauty-skincare","BOURJOIS 29135408018 Beauty Care Velvet Ink Lip Tono 18 for Adults, Designed for Daily Beauty and Care","bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care","04","products/beauty-skincare/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care-04.webp","https://vhoukfbnkgowhvxskkfi.supabase.co/storage/v1/object/public/product-images/products/beauty-skincare/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care-04.webp","500","366","4556","4700","c271a810fe8725e3cfb5acc66e2aed7e9776e54b","2026-09-26T17:26:48.621Z"
"/Users/sherazkhalid/Documents/Apps/savzix-store/data/product images/beauty-skincare/BOURJOIS 29135408018 Beauty Care Velvet Ink Lip Tono 18 for Adults, Designed for Daily Beauty and Care/05.webp","beauty-skincare","BOURJOIS 29135408018 Beauty Care Velvet Ink Lip Tono 18 for Adults, Designed for Daily Beauty and Care","bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care","05","products/beauty-skincare/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care-05.webp","https://vhoukfbnkgowhvxskkfi.supabase.co/storage/v1/object/public/product-images/products/beauty-skincare/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care/bourjois-29135408018-beauty-care-velvet-ink-lip-tono-18-for-adults-designed-for-daily-beauty-and-care-05.webp","1200","1000","125760","69564","44c1a934578e1701c3d5555d0781358b455f3e4b","2026-09-26T17:26:48.905Z"
"/Users/sherazkhalid/Documents/Apps/savzix-store/data/product images/beauty-skincare/Bourjois Always Fabulous Powder 100 Rose Ivory, 7 g/01.webp","beauty-skincare","Bourjois Always Fabulous Powder 100 Rose Ivory, 7 g","bourjois-always-fabulous-powder-100-rose-ivory-7-g","01","products/beauty-skincare/bourjois-always-fabulous-powder-100-rose-ivory-7-g/bourjois-always-fabulous-powder-100-rose-ivory-7-g-01.webp","https://vhoukfbnkgowhvxskkfi.supabase.co/storage/v1/object/public/product-images/products/beauty-skincare/bourjois-always-fabulous-powder-100-rose-ivory-7-g/bourjois-always-fabulous-powder-100-rose-ivory-7-g-01.webp","1080","1080","42678","44298","327dad2127798a03623915d01534a35914fe70cf","2026-09-26T17:26:48.852Z"
"/Users/sherazkhalid/Documents/Apps/savzix-store/data/product images/beauty-skincare/Bourjois Always Fabulous Powder 100 Rose Ivory, 7 g/02.webp","beauty-skincare","Bourjois Always Fabulous Powder 100 Rose Ivory, 7 g","bourjois-always-fabulous-powder-100-rose-ivory-7-g","02","products/beauty-skincare/bourjois-always-fabulous-powder-100-rose-ivory-7-g/bourjois-always-fabulous-powder-100-rose-ivory-7-g-02.webp","https://vhoukfbnkgowhvxskkfi.supabase.co/storage/v1/object/public/product-images/products/beauty-skincare/bourjois-always-fabulous-powder-100-rose-ivory-7-g/bourjois-always-fabulous-powder-100-rose-ivory-7-g-02.webp","800","1200","153738","40032","79898c7c3c21cb24c990dcabe5c76d67f7fcf0f3","2026-09-26T17:26:48.853Z"
"/Users/sherazkhalid/Documents/Apps/savzix-store/data/product images/beauty-skincare/Bourjois Always Fabulous Powder 100 Rose Ivory, 7 g/03.webp","beauty-skincare","Bourjois Always Fabulous Powder 100 Rose Ivory, 7 g","bourjois-always-fabulous-powder-100-rose-ivory-7-g","03","products/beauty-skincare/bourjois-always-fabulous-powder-100-rose-ivory-7-g/bourjois-always-fabulous-powder-100-rose-ivory-7-g-03.webp","https://vhoukfbnkgowhvxskkfi.supabase.co/storage/v1/object/public/product-images/products/beauty-skincare/bourjois-always-fabulous-powder-100-rose-ivory-7-g/bourjois-always-fabulous-powder-100-rose-ivory-7-g-03.webp","1200","1200","242924","94484","4a111ab516c27c5c6b3f13afdf437838e25c6f48","2026-09-26T17:26:48.946Z"
